Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air_Quality
25.4,45.4,1.9,9.7,26.4,7.4,1.02,13.8,558,1
28.1,89.9,31.9,39.6,21.3,15.8,1.72,5.6,697,0
36.1,82.0,6.8,15.7,31.5,12.7,2.43,3.7,767,0
29.4,68.8,22.8,25.4,14.3,5.7,1.07,12.2,358,1
45.8,62.3,36.2,54.1,32.3,19.0,2.8,4.3,616,0
28.2,63.5,0.7,13.0,27.3,9.4,1.65,7.6,531,0
26.7,67.6,3.9,7.9,23.5,6.2,0.99,10.4,366,1
24.4,79.0,7.5,10.3,28.1,4.6,1.49,5.7,473,0
31.4,97.3,70.4,97.4,39.2,20.8,1.83,5.3,480,0
33.7,49.4,28.2,36.7,41.2,16.3,1.85,3.5,568,0
29.7,61.4,18.3,31.4,30.6,17.0,1.42,5.2,396,0
28.7,80.8,16.6,27.3,34.8,15.0,1.75,5.3,446,0
26.1,58.4,9.8,16.3,25.6,7.1,0.89,14.8,458,1
39.7,95.9,70.7,74.9,30.8,18.3,2.3,3.7,422,0
28.0,88.7,13.5,25.9,23.7,18.5,0.94,8.6,546,0
31.8,62.9,116.1,127.6,30.0,10.2,2.26,3.8,790,0
28.3,39.7,52.1,56.7,28.9,0.6,0.99,15.1,384,1
27.9,87.6,22.8,38.3,27.4,4.9,1.42,6.3,443,0
37.8,64.8,0.2,23.6,17.8,6.6,1.71,5.2,643,0
32.2,83.0,40.7,55.0,18.8,3.3,1.76,3.9,669,0
22.2,78.5,5.7,7.5,19.7,5.0,1.15,13.1,514,1
32.5,85.1,24.8,46.3,29.1,13.2,1.89,5.9,599,0
19.8,53.7,17.0,19.9,15.9,7.0,1.04,10.8,564,1
28.5,47.7,0.0,5.3,26.2,2.6,1.13,12.2,474,1
32.7,56.0,57.9,68.6,22.9,15.7,1.32,6.7,542,0
28.5,59.7,7.7,15.5,25.6,21.4,1.46,5.3,423,0
34.2,51.9,4.1,11.6,14.5,5.4,1.17,10.2,421,1
33.2,80.6,18.5,32.1,23.0,21.3,1.84,5.4,793,0
37.2,111.3,0.2,8.8,31.9,18.5,2.12,7.7,753,0
27.5,81.3,36.0,45.5,21.3,12.7,1.66,7.7,395,0
29.7,46.7,0.4,12.9,33.2,4.5,1.63,5.2,541,0
26.6,72.4,30.3,31.5,22.5,4.4,1.05,11.8,320,1
32.3,91.2,1.7,15.7,33.5,7.2,2.33,7.2,535,0
26.7,66.0,0.5,5.4,20.9,-0.6,0.87,10.1,422,1
45.4,104.7,134.5,155.1,46.3,23.4,3.36,8.5,736,0
31.9,70.1,5.5,17.5,44.2,17.2,1.65,4.1,506,0
27.4,63.2,24.9,35.3,30.7,8.8,1.5,5.6,631,0
34.2,72.1,5.8,15.9,25.5,16.0,2.72,5.3,560,0
30.4,48.7,0.1,6.6,24.2,9.1,1.63,6.1,536,0
28.7,63.2,10.7,16.8,22.0,6.4,0.76,15.0,319,1
24.8,60.1,0.1,1.7,17.5,5.9,0.99,13.3,457,1
30.8,85.8,27.0,29.1,18.5,11.0,1.54,8.7,466,0
28.4,48.3,13.5,15.7,18.2,4.1,1.2,10.2,503,1
28.2,55.4,3.4,13.1,18.2,3.8,1.2,6.6,296,0
23.6,55.5,1.2,2.2,24.5,9.7,1.03,10.5,349,1
27.5,76.2,16.6,24.3,32.4,17.8,1.97,5.2,577,0
24.7,46.2,22.9,25.0,14.4,5.0,0.78,10.1,356,1
22.1,64.6,13.1,17.7,15.6,4.9,0.99,10.5,468,1
32.9,97.0,10.0,32.7,39.7,12.4,2.24,4.3,640,0
38.5,81.3,43.9,52.4,39.8,8.6,1.55,3.5,670,0
46.4,63.7,17.3,28.0,46.5,14.6,2.26,4.2,658,0
30.2,62.1,40.2,47.5,20.3,14.7,1.76,5.1,574,0
41.7,64.8,2.3,11.2,22.4,7.6,1.22,6.6,452,0
40.9,80.9,13.5,26.8,37.5,16.2,2.38,3.8,630,0
50.4,85.1,8.9,33.5,36.5,19.2,2.4,4.4,778,0
23.8,54.2,2.6,5.1,18.7,6.8,1.12,12.2,351,1
27.2,90.5,13.9,22.7,26.6,12.8,1.29,7.6,616,0
50.1,108.2,43.1,63.3,53.7,15.2,1.94,7.6,722,0
23.2,60.0,4.7,7.3,26.3,7.5,0.98,11.5,535,1
20.2,61.3,21.3,25.9,14.1,7.1,0.91,10.5,577,1
22.0,50.9,23.6,28.9,19.0,4.6,1.02,10.1,303,1
29.1,52.6,14.0,18.7,17.6,7.7,1.04,10.4,456,1
41.9,75.9,12.6,26.2,41.2,34.1,3.04,7.0,543,0
21.7,50.0,21.5,25.1,12.2,7.0,1.13,11.1,311,1
41.3,85.7,66.1,93.4,40.0,16.4,1.29,3.5,424,0
28.1,39.9,2.8,7.6,18.2,4.8,1.08,10.8,470,1
25.5,43.5,5.2,9.6,24.4,8.8,0.98,11.4,284,1
25.0,49.7,1.1,5.4,17.9,5.0,1.15,10.5,447,1
36.8,82.8,7.3,17.9,33.2,17.0,1.9,4.3,678,0
29.3,75.2,43.5,48.7,22.7,7.7,1.61,11.8,370,0
24.9,56.5,2.4,7.0,18.6,6.1,1.12,13.7,333,1
38.0,98.9,82.4,94.3,37.9,13.1,2.42,6.0,791,0
25.9,78.4,27.5,33.5,26.0,4.3,1.03,11.2,360,1
20.3,75.5,8.6,14.6,14.7,4.6,0.99,16.3,297,1
25.8,77.7,21.7,29.9,13.6,6.3,0.85,12.4,549,1
25.9,87.6,28.6,47.1,23.1,6.4,1.46,5.6,490,0
26.1,46.3,4.7,10.9,19.3,3.2,1.18,17.6,471,1
25.4,81.0,22.9,36.8,38.3,9.5,1.59,7.6,543,0
36.5,78.5,4.7,11.3,30.3,13.9,1.33,6.5,412,0
28.8,42.9,4.8,12.8,17.7,2.0,0.87,10.1,561,1
28.0,76.0,14.1,25.0,28.4,4.2,2.3,4.6,740,0
38.7,98.8,9.1,30.9,40.2,21.0,2.33,2.8,827,0
26.9,59.1,21.4,33.0,22.2,9.2,1.14,5.5,398,0
24.7,51.4,3.5,9.4,14.6,4.3,0.85,11.6,215,1
30.7,80.6,7.6,17.9,23.6,26.6,2.18,4.2,677,0
23.4,64.4,7.2,11.4,12.4,6.2,1.01,13.5,295,1
31.4,51.5,6.0,15.4,22.0,11.4,1.29,6.8,370,0
25.6,80.7,15.7,18.4,15.3,8.1,0.94,12.4,341,1
34.4,103.1,29.2,42.2,54.4,23.6,3.37,3.7,614,0
36.3,69.3,7.1,15.6,22.7,1.6,1.44,6.4,542,0
29.6,56.4,17.2,35.2,20.7,4.5,1.7,6.3,649,0
31.6,77.8,65.6,82.8,33.8,18.3,1.59,5.5,641,0
29.3,56.4,0.5,1.5,25.0,3.4,0.88,11.2,407,1
31.1,116.9,16.1,35.6,31.7,20.7,2.73,4.5,544,0
34.4,100.9,4.7,14.1,47.6,21.0,2.01,5.6,771,0
29.5,53.5,12.2,22.2,26.8,10.0,1.49,8.0,438,0
28.6,66.0,0.8,4.2,19.4,7.1,1.11,12.7,490,1
42.2,94.7,96.4,115.5,45.6,10.1,2.29,4.7,570,0
36.9,84.6,58.5,75.7,39.1,13.1,1.96,4.6,609,0
27.4,83.7,11.4,18.5,18.3,8.4,1.74,7.1,425,0
35.7,91.0,49.9,50.3,19.0,15.4,1.94,4.2,539,0
29.0,71.5,7.9,8.1,24.2,7.2,1.13,14.7,532,1
22.9,71.3,6.9,12.0,11.8,3.5,1.0,13.5,485,1
23.6,56.0,24.7,29.9,17.1,4.7,1.1,15.0,540,1
30.9,76.7,12.4,16.2,13.7,6.9,0.73,11.2,579,1
24.7,83.6,64.0,84.5,47.3,12.1,1.69,4.2,630,0
37.3,82.2,11.2,32.1,36.6,17.0,1.91,3.5,831,0
37.8,86.3,11.9,33.1,34.5,14.6,2.14,7.9,535,0
30.7,64.8,53.2,65.6,34.6,19.9,1.91,3.8,391,0
29.6,46.6,5.1,16.2,27.0,7.0,1.93,7.6,364,0
42.2,87.6,95.7,115.6,42.7,18.7,2.59,6.7,707,0
33.7,63.2,58.3,78.3,42.9,4.8,1.43,5.1,505,0
30.9,85.8,13.2,20.0,27.7,13.3,1.58,15.5,300,0
19.7,51.1,5.5,13.2,20.6,2.4,1.17,10.2,359,1
34.0,88.6,22.3,35.3,20.3,10.0,1.53,5.7,333,0
18.8,54.5,8.8,13.6,20.1,6.0,0.97,10.5,494,1
27.3,65.1,15.1,24.5,29.0,12.8,1.54,6.9,485,0
35.6,95.7,13.9,30.0,37.6,12.1,2.0,12.3,552,0
33.7,59.5,13.7,21.5,19.6,2.3,1.02,11.7,511,1
23.6,52.0,7.2,11.9,19.0,5.5,1.01,12.6,581,1
37.7,64.9,13.5,27.2,38.4,9.6,2.23,3.6,641,0
32.3,68.8,4.3,6.5,28.1,9.4,1.5,5.1,438,0
29.8,75.7,4.7,13.0,21.9,10.1,1.48,5.5,351,0
19.7,50.7,4.4,9.0,10.4,5.6,0.8,17.4,383,1
25.9,76.9,27.2,33.0,22.2,4.9,0.9,11.6,336,1
32.1,100.8,51.2,69.4,48.2,17.7,2.37,2.6,796,0
36.8,71.4,5.4,46.1,41.7,6.3,2.35,2.6,846,0
27.0,48.8,26.6,30.2,13.4,5.6,1.09,11.7,337,1
29.8,54.4,3.6,11.2,15.0,7.4,0.75,10.5,365,1
33.8,72.1,0.6,14.2,32.5,17.5,1.59,14.5,646,0
25.3,54.9,0.8,6.8,27.7,4.6,0.99,12.0,279,1
16.8,57.1,22.0,25.6,13.0,6.4,1.05,10.4,231,1
34.0,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,0
25.1,78.5,39.9,54.2,37.5,19.8,2.2,3.4,463,0
30.4,91.7,8.3,19.2,36.2,18.8,2.25,3.4,417,0
26.1,88.5,33.9,41.7,37.4,14.5,1.17,7.7,542,0
33.6,79.4,18.1,32.1,31.7,15.3,1.86,6.1,691,0
30.3,89.0,6.3,9.3,23.5,14.3,1.88,7.8,365,0
32.5,89.0,12.2,34.2,38.7,13.5,1.88,5.3,688,0
27.5,68.3,0.4,6.2,27.0,9.3,1.12,11.6,465,1
23.9,44.8,1.0,4.7,26.0,3.5,1.02,10.6,262,1
25.2,57.1,15.7,21.6,24.4,3.9,1.01,10.2,261,1
32.6,82.7,71.2,87.5,30.3,15.8,2.31,6.3,712,0
37.0,76.5,22.5,35.0,38.0,26.9,2.31,3.7,774,0
28.0,75.5,70.0,88.9,41.7,23.3,2.42,4.2,678,0
32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412,0
41.1,70.1,45.2,60.0,28.5,15.7,2.43,6.0,759,0
29.9,65.5,0.9,8.2,25.2,11.4,1.46,8.4,670,0
24.2,43.1,13.7,20.4,15.7,7.6,1.04,11.3,365,1
37.9,96.9,43.3,51.1,31.9,10.6,1.23,7.2,293,0
43.6,93.3,75.6,90.4,33.6,17.9,1.98,9.6,425,0
33.7,66.5,67.2,77.4,32.7,6.2,1.24,13.8,461,0
34.7,86.1,14.6,26.3,22.2,10.6,1.8,5.8,643,0
26.9,81.9,28.0,40.2,23.5,8.7,1.41,5.9,379,0
18.5,64.8,8.8,11.5,14.1,5.1,0.89,10.1,428,1
27.7,73.5,8.4,16.1,32.7,9.3,1.48,5.2,638,0
20.9,78.1,16.9,22.9,13.2,6.9,1.09,10.4,450,1
32.4,81.8,16.6,30.3,19.3,13.6,1.68,3.8,588,0
29.0,84.3,8.7,14.7,31.6,11.9,1.53,10.4,475,0
21.3,71.5,13.4,17.3,19.1,1.1,1.07,11.1,280,1
26.4,47.9,40.7,57.5,32.1,7.0,1.79,6.1,562,0
23.1,56.3,31.4,33.8,15.1,5.8,1.02,10.5,300,1
27.2,84.3,17.3,22.4,13.0,5.6,1.21,13.0,539,1
23.2,54.0,2.9,8.8,24.4,0.6,1.04,12.5,372,1
37.5,49.5,9.5,14.9,21.7,7.3,1.64,5.4,654,0
21.2,78.0,6.0,15.4,20.2,5.5,1.03,10.5,446,1
25.2,52.1,1.6,4.8,21.1,4.6,1.1,11.7,230,1
29.1,54.3,5.8,15.1,28.0,8.8,1.43,10.8,421,0
26.8,81.2,0.9,5.7,20.3,6.6,0.93,11.0,409,1
27.1,51.2,20.8,25.6,15.7,4.4,0.75,10.3,432,1
38.0,78.8,1.3,9.0,23.8,0.8,2.54,5.3,755,0
29.6,89.1,19.4,30.7,35.4,24.7,1.74,15.4,748,0
48.4,91.7,24.0,42.3,37.5,29.3,2.35,2.9,924,0
31.2,64.0,15.7,25.3,28.0,13.2,1.59,7.6,485,0
23.4,52.5,1.6,10.7,16.9,3.1,1.37,8.1,396,0
25.6,49.6,0.1,3.9,22.8,4.9,1.02,13.8,575,1
24.5,45.3,3.6,9.0,24.4,3.8,0.9,11.2,527,1
22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,1
23.0,40.9,21.6,25.2,21.5,3.4,1.02,14.8,215,1
24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,1
23.9,43.0,12.2,17.2,14.1,7.2,0.93,10.5,333,1
22.2,56.3,6.7,13.5,21.4,4.9,1.11,12.3,348,1
28.3,75.6,0.1,8.7,10.4,4.0,1.04,12.5,518,1
20.4,43.9,11.8,15.9,25.7,9.0,1.06,13.8,480,1
23.8,52.1,49.8,61.3,32.5,6.3,1.72,5.7,336,0
26.1,65.4,10.2,14.0,23.1,7.1,1.01,12.2,379,1
41.9,81.3,11.4,23.3,31.2,11.5,1.98,5.5,459,0
34.6,65.2,47.0,59.9,24.4,15.6,2.15,7.0,771,0
45.0,115.0,18.8,45.3,45.3,17.9,2.73,3.3,615,0
33.8,68.1,5.4,13.6,30.6,12.1,1.88,6.8,575,0
25.6,57.4,2.2,6.4,12.2,5.0,1.19,18.9,392,1
41.4,61.5,17.6,41.6,32.9,11.4,2.78,4.6,593,0
34.9,76.2,7.3,17.0,24.4,2.9,1.59,10.2,660,0
19.7,62.7,22.4,27.5,19.4,3.1,1.18,10.6,396,1
23.0,44.5,2.3,10.6,13.7,6.3,1.13,11.5,537,1
30.5,76.2,26.8,46.5,40.0,9.3,2.4,9.9,624,0
39.0,107.1,11.2,29.4,44.6,19.3,3.65,2.8,713,0
22.8,76.0,12.3,22.0,27.1,12.2,1.54,12.1,577,0
27.8,56.8,2.5,9.5,12.5,7.0,1.04,12.1,258,1
29.0,81.3,60.0,76.1,24.2,5.8,1.05,6.4,511,0
41.8,75.4,23.7,34.7,37.7,6.8,1.42,5.9,527,0
26.8,91.1,16.6,21.3,25.8,6.4,1.72,7.7,571,0
30.7,81.9,0.5,11.4,26.4,20.0,1.71,5.2,650,0
30.4,90.7,91.5,98.9,22.1,9.6,1.52,5.3,598,0
28.1,93.7,35.0,50.7,46.0,19.4,1.66,4.0,487,0
25.0,87.3,49.8,70.3,35.2,15.4,2.85,4.7,680,0
41.1,82.1,30.0,52.7,35.7,14.9,2.46,4.0,654,0
28.3,72.7,56.8,70.2,34.4,10.3,1.75,5.1,486,0
37.9,79.6,28.0,37.4,33.2,13.6,1.93,4.9,608,0
42.5,108.2,109.2,116.8,43.5,21.2,2.07,4.6,741,0
29.9,86.3,8.3,19.9,21.0,7.9,1.44,9.1,487,0
32.0,101.4,60.3,78.5,45.4,25.0,3.01,4.3,698,0
33.8,53.7,11.2,30.1,25.8,10.6,1.23,5.3,640,0
22.0,56.3,5.7,12.5,16.8,6.1,1.01,12.2,230,1
21.3,41.7,6.9,10.9,21.2,3.7,1.0,12.8,298,1
26.8,76.1,3.8,10.1,25.1,4.7,1.01,10.3,394,1
22.6,70.7,0.8,7.4,26.3,1.8,1.07,10.8,481,1
32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405,0
35.2,86.4,47.2,61.0,21.7,13.8,2.24,3.7,514,0
46.1,80.5,42.3,58.5,32.1,28.4,2.4,2.7,705,0
29.2,54.0,2.5,8.7,27.7,10.5,1.4,5.7,327,0
26.0,71.5,31.4,34.6,21.3,3.9,0.97,12.7,463,1
45.2,93.2,51.2,79.2,35.4,23.3,2.16,3.7,565,0
22.6,40.8,4.6,10.6,20.9,5.7,1.11,12.6,315,1
24.0,51.2,14.1,16.5,26.0,7.4,0.97,10.2,264,1
27.4,77.3,12.9,21.1,16.4,15.8,1.81,8.0,406,0
32.6,79.6,42.8,51.4,14.1,13.3,1.55,7.5,633,0
22.2,57.5,3.6,5.6,16.7,7.6,0.86,11.6,460,1
31.4,63.1,4.3,15.6,21.9,16.4,1.45,5.9,625,0
26.1,83.8,33.2,36.9,23.6,2.7,0.82,19.1,310,1
25.1,63.9,5.0,8.8,17.3,6.3,1.12,11.0,367,1
41.2,92.2,36.1,49.5,42.2,17.1,2.39,2.7,815,0
37.1,47.9,18.1,26.7,20.4,14.7,1.53,10.3,467,0
25.8,53.0,14.7,20.4,13.2,5.7,0.82,11.1,259,1
30.4,44.2,7.8,11.4,22.0,5.9,0.92,11.3,446,1
35.6,82.5,1.8,11.9,20.6,14.6,1.63,10.1,672,0
28.2,75.4,1.2,13.0,35.9,2.6,1.42,5.5,539,0
22.6,69.0,1.2,7.7,12.2,5.6,1.18,11.8,481,1
16.9,72.9,1.3,0.2,27.6,6.4,0.97,13.7,339,1
15.3,48.0,16.6,20.7,26.5,3.9,0.94,12.5,263,1
38.0,84.6,34.2,62.4,43.8,17.8,2.62,6.7,598,0
28.6,67.5,0.2,4.9,19.0,4.5,1.04,11.4,444,1
37.6,99.5,142.3,157.1,36.3,20.8,1.82,2.8,528,0
16.8,46.5,7.7,10.2,26.2,4.2,0.85,11.6,249,1
24.8,39.7,5.0,13.2,20.3,5.8,1.1,10.5,418,1
27.1,76.4,8.0,13.0,21.7,3.4,0.86,10.0,407,1
30.0,78.0,9.7,14.5,15.5,7.2,1.05,12.3,554,1
27.5,65.9,19.3,31.5,24.6,7.2,1.74,5.4,609,0
34.9,80.9,21.4,32.8,50.8,16.6,2.11,3.8,797,0
28.4,54.4,5.5,17.5,29.1,12.2,1.5,7.3,663,0
22.7,79.5,1.0,8.1,12.2,6.5,1.03,12.4,439,1
20.3,52.3,2.0,6.0,25.1,4.7,0.95,13.4,277,1
35.3,71.2,12.9,39.3,34.8,14.1,2.42,5.7,401,0
21.8,72.4,4.0,7.5,19.4,-0.3,1.15,12.2,490,1
32.8,51.2,23.8,29.2,35.6,7.4,1.48,8.9,586,0
38.7,72.4,3.4,23.9,25.4,22.6,2.27,3.9,765,0
37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511,0
29.4,73.1,11.7,28.0,24.5,13.2,1.51,8.0,459,0
38.8,64.6,21.5,31.9,21.2,9.0,1.48,5.8,545,0
30.5,74.7,17.5,22.8,26.3,9.9,1.61,7.9,441,0
23.3,81.8,27.0,34.6,33.4,14.0,1.65,5.3,505,0
31.3,49.2,7.2,14.9,29.3,11.9,1.37,6.7,340,0
26.5,42.4,4.7,14.1,18.0,1.7,0.94,12.0,457,1
20.7,77.0,15.2,20.3,15.8,3.7,0.96,16.0,368,1
21.6,46.5,6.5,15.7,21.8,7.8,1.03,15.0,602,1
26.0,64.3,22.6,38.3,33.3,14.4,1.48,7.0,359,0
28.1,65.8,3.1,8.6,14.6,5.2,0.86,10.9,370,1
27.4,61.2,24.3,32.1,23.8,4.8,0.98,11.6,345,1
21.9,60.3,0.0,3.1,20.0,3.0,0.92,10.3,396,1
21.8,70.4,16.5,22.3,24.1,1.9,0.94,12.3,420,1
40.0,84.4,47.0,59.3,22.4,3.1,1.51,6.0,453,0
19.8,75.8,1.5,6.7,28.9,10.9,0.94,6.7,636,0
29.3,64.2,18.7,27.4,32.1,10.8,1.52,6.6,392,0
29.8,67.7,3.6,12.7,17.0,6.8,1.01,13.7,550,1
25.5,63.0,29.1,38.7,28.8,4.7,1.32,5.9,527,0
38.2,54.8,43.9,53.5,21.1,9.0,1.47,5.0,485,0
47.3,75.6,75.8,92.0,36.3,17.4,1.76,5.0,503,0
29.4,64.5,0.7,4.7,16.4,4.7,1.1,11.1,520,1
47.2,76.9,1.5,27.0,34.4,20.2,2.45,6.0,939,0
29.6,73.6,2.3,8.1,26.0,0.2,1.12,11.9,490,1
28.4,71.7,13.3,15.0,16.8,8.2,1.11,11.4,360,1
33.2,84.3,106.5,127.3,34.7,11.8,2.29,3.8,586,0
26.3,49.6,6.0,8.9,24.2,9.8,1.06,10.6,199,1
30.7,102.0,7.9,26.1,41.6,26.1,2.31,4.8,765,0
27.5,85.0,57.1,72.3,33.7,9.6,1.86,5.4,537,0
21.0,94.7,7.6,16.7,35.6,9.9,1.7,5.2,388,0
34.5,60.8,37.1,47.4,28.7,9.1,2.04,3.4,484,0
33.7,83.2,1.6,25.2,34.3,12.0,2.59,6.2,551,0
36.4,58.0,18.3,23.6,30.5,13.7,1.49,5.1,363,0
33.5,44.8,36.7,44.4,21.0,9.7,1.23,10.1,547,0
34.9,66.8,8.4,20.7,32.8,11.8,1.21,8.2,623,0
37.8,74.6,19.6,29.0,22.2,12.7,1.4,5.2,417,0
23.1,71.0,4.9,9.9,17.7,4.4,1.01,11.8,342,1
29.0,39.7,8.9,16.2,26.2,4.2,0.97,15.0,250,1
24.4,63.7,31.1,34.2,16.4,-0.2,0.99,10.7,501,1
25.8,78.2,14.0,20.2,23.3,6.6,1.01,18.8,576,1
26.2,64.3,16.2,19.4,18.5,9.0,1.08,11.3,566,1
31.5,61.9,105.9,105.0,22.4,4.8,1.16,6.1,577,0
24.4,44.8,4.1,7.4,23.7,4.0,0.91,11.9,241,1
31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,0
26.7,72.4,4.2,16.3,18.9,11.7,1.45,12.0,527,0
29.7,54.0,0.2,7.6,15.6,4.4,0.93,10.8,401,1
23.6,47.8,3.8,6.4,14.0,3.3,1.09,10.4,209,1
32.2,62.7,1.5,7.6,19.7,4.3,0.95,10.3,348,1
24.9,66.8,7.0,11.8,24.5,8.9,0.93,10.2,388,1
42.8,78.6,31.8,44.5,32.4,26.0,1.98,3.8,598,0
32.4,56.0,3.3,15.6,28.8,6.5,1.49,7.6,506,0
33.3,64.4,17.0,33.1,25.1,10.6,1.39,5.9,511,0
27.5,55.4,32.5,47.0,22.1,12.7,1.66,5.2,298,0
34.1,67.9,40.1,47.1,34.6,1.0,1.72,9.5,462,0
39.4,109.1,34.9,56.8,36.1,3.1,2.02,5.7,454,0
32.7,62.6,50.5,66.6,31.5,9.2,1.26,7.1,473,0
36.3,84.9,5.3,14.1,33.0,16.5,1.9,5.3,718,0
36.3,70.0,58.7,71.9,42.1,12.1,2.37,3.9,539,0
24.2,68.2,2.0,6.3,20.3,8.2,1.04,10.5,267,1
36.4,82.7,19.7,36.6,39.2,15.9,1.72,9.0,782,0
24.6,58.0,7.5,19.0,25.7,3.4,1.57,12.7,617,0
33.4,80.2,10.3,32.4,40.3,12.9,1.36,2.6,597,0
28.6,83.7,2.5,9.1,24.5,17.5,1.38,6.3,466,0
18.8,46.7,0.6,5.5,13.4,7.0,1.01,11.5,484,1
34.6,75.7,3.7,27.7,32.2,3.9,1.91,3.6,703,0
24.1,60.2,6.3,12.2,30.8,17.6,1.44,8.0,353,0
33.6,57.0,3.4,8.2,17.6,3.5,1.12,13.1,297,1
42.7,70.1,123.7,128.1,28.7,2.4,1.89,4.2,765,0
34.4,75.8,7.2,22.6,35.5,12.0,1.42,9.5,582,0
26.7,61.9,11.8,16.3,13.0,6.3,0.85,16.7,361,1
32.7,79.1,17.2,29.7,23.9,17.0,1.25,7.5,504,0
31.8,86.3,2.6,14.8,38.6,17.7,2.07,3.7,551,0
24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511,1
25.2,88.9,22.3,44.2,34.1,17.5,2.33,4.4,578,0
43.0,96.5,14.6,38.1,39.7,17.3,2.17,5.4,591,0
39.9,112.1,37.2,54.7,50.8,21.8,2.58,2.8,556,0
28.6,91.5,61.2,82.7,39.5,7.5,1.97,4.6,639,0
30.1,89.5,26.2,38.9,45.4,19.1,2.18,4.2,658,0
33.7,72.5,6.9,22.6,22.8,16.2,1.48,8.5,644,0
30.4,72.9,10.9,25.7,29.3,8.9,1.58,5.3,655,0
29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439,1
28.4,45.1,9.7,15.9,23.0,6.5,0.99,12.6,303,1
44.6,94.9,78.9,98.3,40.6,23.9,2.44,4.3,670,0
30.0,85.3,9.2,18.2,25.8,5.2,1.42,10.2,503,0
24.7,68.9,4.2,11.1,14.8,2.4,1.06,15.9,475,1
28.6,71.9,4.1,17.7,44.3,4.1,1.48,4.9,780,0
32.3,87.0,54.7,69.9,56.1,26.6,2.5,2.7,801,0
23.5,76.1,0.2,7.4,26.9,3.4,0.9,11.2,277,1
38.0,70.6,100.0,117.5,32.4,7.0,2.4,4.1,477,0
31.8,67.3,17.7,23.4,22.1,9.6,2.49,5.9,689,0
24.2,41.4,22.6,31.1,24.7,3.7,1.05,11.2,257,1
21.6,77.6,5.0,10.6,17.6,2.5,0.94,11.0,591,1
29.3,77.1,14.5,19.8,14.0,2.9,1.07,11.6,361,1
29.2,77.9,12.9,21.4,24.7,12.6,1.39,6.4,640,0
26.1,38.4,0.4,5.4,20.9,3.1,1.12,11.1,387,1
31.2,53.7,29.4,43.3,29.6,15.4,1.44,8.3,432,0
33.7,88.9,10.2,19.0,23.8,-0.3,1.7,8.3,405,0
35.5,109.1,77.1,94.8,34.2,21.5,2.42,2.5,870,0
22.9,74.4,0.0,1.9,15.7,3.7,0.9,10.3,390,1
33.8,88.3,7.6,13.1,26.7,5.6,1.44,5.9,654,0
33.4,98.5,42.7,57.5,47.9,14.3,2.66,2.6,788,0
35.8,65.9,58.2,83.7,40.2,13.8,2.09,4.1,413,0
37.0,71.8,23.2,38.6,35.4,22.9,1.82,3.4,516,0
22.8,60.1,11.1,14.9,14.8,3.2,1.11,10.8,525,1
51.3,58.0,31.2,48.3,34.3,11.5,3.32,2.6,538,0
32.5,55.8,1.0,13.5,34.3,9.7,1.84,6.0,325,0
29.2,65.3,30.6,34.2,22.6,6.0,1.11,16.0,334,1
31.2,76.6,23.0,36.0,23.4,12.5,1.39,6.2,384,0
37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506,0
27.6,89.6,14.9,33.8,24.3,8.7,1.53,6.3,582,0
26.8,58.5,39.0,46.5,27.4,8.6,1.59,5.5,466,0
38.3,103.6,12.4,27.7,25.4,11.0,1.87,3.8,441,0
25.2,61.7,27.9,33.6,12.7,5.5,1.08,11.9,300,1
21.7,74.1,57.2,74.9,20.9,7.1,1.63,5.0,580,0
24.6,42.6,12.0,15.2,17.2,5.6,1.2,10.9,516,1
35.1,78.2,14.0,32.1,28.3,3.0,1.98,3.7,597,0
22.3,41.6,11.6,16.2,15.3,2.1,1.04,12.2,236,1
30.6,76.2,1.5,15.1,32.6,29.2,1.87,8.4,715,0
23.8,65.2,9.9,14.2,14.6,4.9,0.97,10.7,331,1
35.5,71.8,7.4,27.5,33.8,22.6,1.91,3.9,676,0
27.4,69.9,5.9,9.5,25.2,5.7,0.89,11.9,589,1
34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,0
37.0,80.1,35.2,49.4,41.1,21.2,1.84,5.3,469,0
37.2,94.4,20.8,37.1,29.5,10.8,1.66,8.3,531,0
20.0,61.2,11.1,17.2,24.2,2.6,1.08,11.3,209,1
24.6,62.9,0.6,2.6,29.2,4.8,0.99,11.2,387,1
23.9,42.1,19.2,25.4,16.8,5.2,1.12,11.6,352,1
41.0,60.7,26.9,56.7,38.4,13.0,2.25,3.5,673,0
22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,0
40.0,90.4,5.4,24.6,36.4,15.3,1.85,4.8,561,0
28.0,45.2,7.3,9.7,24.1,2.2,1.13,12.7,286,1
